CustomerID,LoanAmount,LoanTerm,InterestRate,ApprovalStatus
1,10077,48,4.88,Rejected
2,22944,36,4.58,Rejected
3,27501,48,7.89,Approved
4,15511,48,6.22,Rejected
5,15090,24,4.39,Approved
6,17151,24,6.48,Approved
7,21327,48,6.68,Rejected
8,11475,48,5.41,Rejected
9,20418,48,6.86,Rejected
10,15931,60,7.88,Approved
11,15596,48,5.79,Rejected
12,15325,36,8.04,Approved
13,15765,60,6.88,Rejected
14,19394,36,5.79,Approved
15,24815,60,7.2,Rejected
370,23874,48,6.54,Rejected
16,10332,36,5.65,Approved
17,14617,36,6.97,Rejected
18,25399,48,6.54,Rejected
19,29282,24,7.77,Approved
20,24632,48,7.61,Rejected
21,25655,36,7.35,Approved
22,24646,24,5.52,Rejected
23,17044,36,5.25,Rejected
24,19957,60,6.8,Rejected
25,27822,60,7.21,Approved
26,20340,12,4.0,Rejected
27,20124,36,4.79,Approved
28,21620,36,5.24,Approved
29,20872,60,5.63,Approved
30,27785,36,4.26,Approved
304,23930,36,4.54,Approved
31,29334,60,4.37,Approved
32,10016,24,4.06,Approved
33,25024,12,7.38,Rejected
34,9878,48,7.38,Rejected
35,21637,60,5.41,Rejected
36,19461,12,4.21,Rejected
37,17177,24,8.45,Rejected
38,29983,36,5.31,Rejected
39,18553,60,6.8,Approved
40,10929,48,7.42,Approved
41,10945,24,7.6,Rejected
42,27404,60,6.16,Approved
43,11838,48,7.35,Rejected
44,29227,12,6.62,Approved
45,28197,48,5.44,Approved
46,12348,36,5.98,Rejected
47,27211,12,6.27,Rejected
48,21088,48,5.93,Rejected
49,29549,24,4.21,Rejected
50,21099,48,7.37,Rejected
51,19489,60,5.41,Rejected
52,10394,60,8.29,Rejected
53,24326,60,4.92,Approved
54,25517,12,8.0,Rejected
55,23658,24,6.96,Rejected
56,17837,12,4.88,Approved
57,10964,60,7.01,Rejected
58,8632,24,4.73,Approved
176,20121,60,5.21,Approved
59,14848,36,4.55,Rejected
