RepaymentID,LoanID,Month,ActualRepayment
1.0,86,1,2168.81
2.0,17,1,2076.52
3.0,131,1,2630.26
4.0,345,1,2537.97
5.0,44,1,5075.94
6.0,804,1,3599.3
7.0,427,1,2768.7
8.0,992,1,4014.61
9.0,101,1,692.17
10.0,69,1,922.9
11.0,126,1,2676.41
12.0,882,1,3922.32
13.0,370,1,876.75
14.0,636,1,2768.7
15.0,550,1,4383.77
16.0,400,1,4291.48
17.0,171,1,3922.32
18.0,927,1,1891.94
19.0,668,1,1338.2
20.0,272,1,4568.35
21.0,576,1,5306.67
22.0,84,1,876.75
23.0,182,1,1107.48
24.0,205,1,3553.16
25.0,286,1,738.32
26.0,949,1,4891.36
27.0,209,1,599.88
28.0,776,1,1292.06
29.0,397,1,4845.22
30.0,411,1,2122.67
31.0,769,1,2261.1
32.0,46,1,3876.17
33.0,740,1,2445.68
34.0,770,1,4660.64
35.0,723,1,876.75
36.0,303,1,3230.14
37.0,304,1,3737.74
38.0,79,1,2353.39
39.0,240,1,1430.49
40.0,820,1,2214.96
41.0,801,1,4060.75
42.0,351,1,3045.57
43.0,825,1,0.0
44.0,952,1,3876.17
45.0,176,1,1430.49
46.0,653,1,3460.87
47.0,932,1,4706.78
48.0,524,1,4752.93
49.0,961,1,969.04
50.0,156,1,1753.51
51.0,676,1,5445.1
52.0,489,1,5306.67
53.0,93,1,4337.62
54.0,322,1,4106.9
55.0,193,1,5029.8
56.0,249,1,5352.81
57.0,728,1,0
58.0,403,1,3091.71
59.0,818,1,2537.97
60.0,681,1,4614.49
61.0,965,1,1984.23
62.0,496,1,2307.25
63.0,599,1,1522.78
64.0,477,1,922.9
65.0,819,1,830.61
66.0,276,1,3045.57
67.0,235,1,1522.78
68.0,270,1,2030.38
69.0,277,1,4522.2
70.0,527,1,2630.26
71.0,159,1,1753.51
72.0,628,1,4291.48
73.0,479,1,5398.96
74.0,724,1,4245.33
75.0,713,1,2907.13
76.0,861,1,4429.91
77.0,797,1,5214.38
78.0,78,1,922.9
79.0,956,1,2445.68
80.0,898,1,5029.8
81.0,472,1,5398.96
82.0,476,1,5491.25
83.0,587,1,1845.8
84.0,682,1,1845.8
85.0,15,1,1476.64
86.0,21,1,3599.3
87.0,330,1,1799.65
88.0,348,1,784.46
89.0,338,1,4060.75
90.0,491,1,2814.84
91.0,461,1,1153.62
92.0,115,1,3691.59
93.0,57,1,1015.19
94.0,663,1,3553.16
95.0,757,1,3645.45
96.0,441,1,969.04
97.0,287,1,2860.99
98.0,3,1,4199.19
99.0,484,1,3691.59
100.0,187,1,4614.49
101.0,8,1,4891.36
102.0,81,1,4845.22
103.0,253,1,4799.07
104.0,359,1,5260.52
105.0,14,1,1615.07
106.0,727,1,1245.91
107.0,317,1,2584.12
108.0,54,1,5029.8
109.0,373,1,1015.19
110.0,227,1,5398.96
111.0,833,1,1245.91
112.0,455,1,1107.48
113.0,810,1,1107.48
114.0,306,1,5398.96
115.0,618,1,1938.09
116.0,536,1,5260.52
117.0,672,1,5029.8
118.0,765,1,1476.64
119.0,417,1,4060.76
120.0,796,1,4891.36
121.0,135,1,5260.52
122.0,428,1,4983.65
123.0,646,1,4983.65
124.0,547,1,1107.48
125.0,745,1,1707.36
126.0,252,1,2491.83
127.0,750,1,3645.45
128.0,106,1,1799.65
129.0,151,1,5075.94
130.0,363,1,2814.84
131.0,80,1,1153.62
132.0,923,1,5029.8
133.0,734,1,3137.85
134.0,635,1,1107.48
135.0,673,1,969.04
136.0,722,1,1476.64
137.0,764,1,4245.33
138.0,420,1,4291.48
139.0,539,1,2814.84
140.0,486,1,5029.8
141.0,629,1,738.32
142.0,18,1,3184.0
143.0,474,1,4983.65
144.0,802,1,1292.06
145.0,755,1,1245.91
146.0,600,1,738.32
147.0,964,1,2491.83
148.0,366,1,2491.83
149.0,142,1,1799.65
150.0,937,1,646.03
151.0,430,1,1153.62
152.0,361,1,2491.83
153.0,989,1,1799.65
154.0,196,1,0
155.0,560,1,3645.45
156.0,540,1,1199.77
157.0,701,1,3230.14
158.0,857,1,738.32
159.0,741,1,2860.99
160.0,846,1,2630.26
161.0,365,1,5260.52
162.0,352,1,4845.22
163.0,549,1,3137.85
164.0,606,1,2860.99
165.0,32,1,1384.35
166.0,37,1,2076.52
167.0,342,1,2907.13
168.0,10,1,4060.75
169.0,260,1,1015.19
170.0,773,1,1199.77
171.0,471,1,599.88
172.0,845,1,1292.06
173.0,160,1,4199.19
174.0,208,1,3876.17
175.0,772,1,4752.93
176.0,657,1,1984.23
177.0,637,1,3230.14
178.0,906,1,4983.65
179.0,788,1,2537.97
180.0,922,1,2999.42
181.0,865,1,2537.97
182.0,99,1,692.17
183.0,70,1,5491.25
184.0,87,1,4199.19
185.0,62,1,1891.94
186.0,671,1,1430.49
187.0,585,1,3691.59
188.0,997,1,5122.09
189.0,708,1,4568.35
190.0,917,1,2030.38
191.0,268,1,8121.5
192.0,72,1,1522.78
193.0,41,1,1153.62
194.0,786,1,5075.94
195.0,449,1,2445.68
196.0,125,1,1707.36
197.0,463,1,8582.96
198.0,27,1,1568.93
199.0,218,1,4291.48
200.0,704,1,1245.91
201.0,649,1,4476.06
202.0,955,1,2630.26
203.0,689,1,4383.77
204.0,38,1,1061.33
205.0,753,1,3691.59
206.0,467,1,1984.23
207.0,336,1,738.32
208.0,533,1,5537.39
209.0,414,1,3414.72
210.0,884,1,1061.33
211.0,426,1,3276.29
212.0,780,1,3737.74
213.0,95,1,4383.77
214.0,929,1,3691.59
215.0,443,1,2399.54
216.0,711,1,4337.62
217.0,667,1,1799.65
218.0,564,1,646.03
219.0,827,1,2261.1
220.0,566,1,3507.01
221.0,444,1,2399.54
222.0,756,1,4522.2
223.0,551,1,3137.85
224.0,269,1,4706.78
225.0,592,1,3737.74
226.0,577,1,1292.06
227.0,650,1,3045.57
228.0,35,1,5352.81
229.0,605,1,1153.62
230.0,291,1,692.17
231.0,873,1,3783.88
232.0,938,1,5122.09
233.0,264,1,3137.85
234.0,790,1,5260.52
235.0,217,1,2168.81
236.0,66,1,3276.29
237.0,380,1,1938.09
238.0,715,1,4614.5
239.0,647,1,3507.01
240.0,494,1,1476.64
241.0,416,1,2768.7
242.0,702,1,830.61
243.0,105,1,5075.94
244.0,831,1,1661.22
245.0,349,1,2399.54
246.0,137,1,3137.85
247.0,201,1,3737.74
248.0,535,1,4383.77
249.0,103,1,0.0
250.0,619,1,0.0
251.0,204,1,5029.8
252.0,720,1,4199.19
253.0,239,1,3783.88
254.0,456,1,2999.42
255.0,544,1,3922.32
256.0,347,1,3737.74
257.0,173,1,3091.71
258.0,220,1,4799.07
259.0,695,1,1107.48
260.0,293,1,4660.64
261.0,766,1,3414.72
262.0,413,1,5306.67
263.0,760,1,4476.06
264.0,493,1,1938.09
265.0,212,1,4014.61
266.0,644,1,2168.81
267.0,783,1,1799.65
268.0,58,1,1522.78
269.0,144,1,2030.38
270.0,651,1,969.04
271.0,607,1,1568.93
272.0,468,1,4891.36
273.0,145,1,1984.23
274.0,432,1,8675.24
275.0,326,1,8490.66
276.0,784,1,2261.1
277.0,192,1,5029.8
278.0,589,1,1199.77
279.0,559,1,4337.62
280.0,706,1,5491.25
281.0,665,1,1061.33
282.0,65,1,1938.09
283.0,341,1,2999.42
284.0,350,1,3691.59
285.0,274,1,5122.09
286.0,522,1,2445.68
287.0,102,1,3737.74
288.0,389,1,4291.48
289.0,840,1,3691.59
290.0,470,1,5352.81
291.0,791,1,2676.4
292.0,390,1,4568.35
293.0,877,1,4106.9
294.0,624,1,2953.28
295.0,789,1,2860.99
296.0,129,1,599.88
297.0,730,1,1384.35
298.0,778,1,4153.04
299.0,888,1,1753.51
300.0,392,1,2630.26
301.0,77,1,4383.77
302.0,957,1,3137.85
303.0,699,1,1338.2
304.0,696,1,3599.3
305.0,362,1,3737.74
306.0,94,1,3368.58
307.0,313,1,692.17
308.0,752,1,5260.52
309.0,282,1,2261.1
310.0,127,1,4614.49
311.0,571,1,3137.85
312.0,901,1,1568.93
313.0,396,1,5214.38
314.0,910,1,2445.68
315.0,283,1,4891.36
316.0,229,1,4983.65
317.0,985,1,4199.19
318.0,763,1,1799.65
319.0,631,1,4106.9
320.0,543,1,1707.36
321.0,512,1,2630.26
322.0,795,1,646.03
323.0,460,1,1153.62
324.0,899,1,599.88
325.0,744,1,3045.57
326.0,999,1,5306.67
327.0,836,1,2630.26
328.0,442,1,5491.25
329.0,954,1,5122.09
330.0,943,1,3783.88
331.0,926,1,646.03
332.0,111,1,1984.23
333.0,104,1,3091.71
334.0,511,1,3599.3
335.0,879,1,692.17
336.0,812,1,4752.93
337.0,358,1,3460.87
338.0,951,1,3553.16
339.0,13,1,4706.78
340.0,984,1,922.9
341.0,866,1,3322.43
342.0,569,1,5075.94
343.0,967,1,4153.04
344.0,538,1,1799.65
345.0,573,1,2537.97
346.0,767,1,4337.62
347.0,482,1,4014.61
348.0,851,1,876.75
349.0,742,1,2076.52
350.0,614,1,969.04
351.0,503,1,2076.52
352.0,815,1,4891.36
353.0,425,1,830.61
354.0,31,1,3599.3
355.0,519,1,5491.25
356.0,903,1,1476.64
357.0,878,1,3830.03
358.0,924,1,4522.2
359.0,132,1,1661.22
360.0,735,1,2353.39
361.0,107,1,2584.12
362.0,895,1,3876.17
363.0,590,1,1292.06
364.0,421,1,4476.06
365.0,346,1,7290.9
366.0,431,1,1245.91
367.0,832,1,2814.84
368.0,933,1,5445.1
369.0,721,1,5214.38
370.0,971,1,3876.17
371.0,889,1,1061.33
372.0,290,1,3507.01
373.0,886,1,1430.49
374.0,973,1,4199.19
375.0,972,1,5214.38
376.0,76,1,8398.38
377.0,798,1,3368.58
378.0,49,1,3276.29
379.0,593,1,1476.64
380.0,501,1,4014.61
381.0,88,1,3737.74
382.0,912,1,1891.94
383.0,947,1,1245.91
384.0,712,1,3507.01
385.0,939,1,1153.62
386.0,729,1,1568.93
387.0,202,1,969.04
388.0,870,1,10521.04
389.0,422,1,4476.06
390.0,679,1,5398.96
391.0,670,1,1984.23
392.0,868,1,1476.64
393.0,864,1,2768.7
394.0,40,1,2768.7
395.0,588,1,1199.77
396.0,622,1,1615.07
397.0,310,1,1891.94
398.0,859,1,3368.58
399.0,53,1,5214.38
400.0,28,1,3137.85
401.0,181,1,2261.1
402.0,505,1,3968.46
403.0,634,1,3184.0
404.0,875,1,1384.34
405.0,794,1,3599.3
406.0,983,1,1107.48
407.0,292,1,738.32
408.0,439,1,4060.75
409.0,632,1,5029.8
410.0,944,1,4706.78
411.0,800,1,5168.23
412.0,331,1,2307.25
413.0,377,1,9505.86
414.0,563,1,1245.91
415.0,880,1,1661.22
416.0,492,1,7290.9
417.0,942,1,3322.43
418.0,822,1,599.88
419.0,921,1,4891.36
420.0,625,1,3645.45
421.0,513,1,5214.38
422.0,979,1,3045.57
423.0,369,1,1522.78
424.0,391,1,10982.5
425.0,155,1,5445.1
426.0,394,1,4429.91
427.0,357,1,692.17
428.0,520,1,1292.06
429.0,215,1,4106.9
430.0,5,1,1338.2
431.0,241,1,5260.52
