LoanID,LoanAmount,ScheduledRepayment
1,52000.0,2399.54
2,115000.0,5306.67
3,91000.0,4199.19
4,77000.0,3553.16
5,29000.0,1338.2
6,29000.0,1338.2
7,18000.0,830.61
8,106000.0,4891.36
9,77000.0,3553.16
10,88000.0,4060.75
11,14000.0,646.03
12,117000.0,5398.96
13,102000.0,4706.78
14,35000.0,1615.07
15,32000.0,1476.64
16,32000.0,1476.64
17,45000.0,2076.52
18,69000.0,3184.0
19,59000.0,2722.55
20,43000.0,1984.23
21,78000.0,3599.3
22,27000.0,1245.91
23,44000.0,2030.38
24,52000.0,2399.54
25,61000.0,2814.84
26,97000.0,4476.06
27,34000.0,1568.93
28,68000.0,3137.85
29,76000.0,3507.01
30,17000.0,784.46
31,78000.0,3599.3
32,30000.0,1384.35
33,19000.0,876.75
34,114000.0,5260.52
35,116000.0,5352.81
36,99000.0,4568.35
37,45000.0,2076.52
38,23000.0,1061.33
39,86000.0,3968.46
40,60000.0,2768.7
41,25000.0,1153.62
42,65000.0,2999.42
43,16000.0,738.32
44,110000.0,5075.94
45,40000.0,1845.8
46,84000.0,3876.17
47,46000.0,2122.67
48,68000.0,3137.85
49,71000.0,3276.29
50,32000.0,1476.64
51,117000.0,5398.96
52,96000.0,4429.91
53,113000.0,5214.38
54,109000.0,5029.8
55,77000.0,3553.16
56,112000.0,5168.23
57,22000.0,1015.19
58,33000.0,1522.78
59,17000.0,784.46
60,47000.0,2168.81
61,54000.0,2491.83
62,41000.0,1891.94
63,102000.0,4706.78
64,51000.0,2353.39
65,42000.0,1938.09
66,71000.0,3276.29
67,27000.0,1245.91
68,99000.0,4568.35
69,20000.0,922.9
70,119000.0,5491.25
71,95000.0,4383.77
72,33000.0,1522.78
73,13000.0,599.88
74,100000.0,4614.49
75,88000.0,4060.75
76,91000.0,4199.19
77,95000.0,4383.77
78,20000.0,922.9
79,51000.0,2353.39
80,25000.0,1153.62
81,105000.0,4845.22
82,79000.0,3645.45
83,48000.0,2214.96
84,19000.0,876.75
85,46000.0,2122.67
86,47000.0,2168.81
87,91000.0,4199.19
88,81000.0,3737.74
89,108000.0,4983.65
90,63000.0,2907.13
91,25000.0,1153.62
92,89000.0,4106.9
93,94000.0,4337.62
94,73000.0,3368.58
95,95000.0,4383.77
96,65000.0,2999.42
97,68000.0,3137.85
98,58000.0,2676.41
99,15000.0,692.17
100,24000.0,1107.48
101,15000.0,692.17
102,81000.0,3737.74
103,46000.0,2122.67
104,67000.0,3091.71
105,110000.0,5075.94
106,39000.0,1799.65
107,56000.0,2584.12
108,94000.0,4337.62
109,37000.0,1707.36
110,20000.0,922.9
111,43000.0,1984.23
112,29000.0,1338.2
113,112000.0,5168.23
114,99000.0,4568.35
115,80000.0,3691.59
116,106000.0,4891.36
117,99000.0,4568.35
118,32000.0,1476.64
119,108000.0,4983.65
